x,y
11.776420593261719,-0.2895800769329071
11.892958641052246,-0.3309912085533142
11.987890243530273,-0.3651123046875
12.101332664489746,-0.40611815452575684
12.214516639709473,-0.4474169909954071
12.303915977478027,-0.48045897483825684
12.42672348022461,-0.5266699194908142
12.5648775100708,-0.5800341963768005
12.719022750854492,-0.6413134336471558
12.82717227935791,-0.6852099299430847
12.975434303283691,-0.7476025223731995
13.127792358398438,-0.8142626881599426
13.23289966583252,-0.8615185618400574
13.405976295471191,-0.9432373046875
13.5559663772583,-1.0172704458236694
13.65548324584961,-1.0678759813308716
13.76199722290039,-1.1239013671875
13.910849571228027,-1.2059521675109863
14.04623031616211,-1.283715844154358
14.141484260559082,-1.3399853706359863
14.298930168151855,-1.436977505683899
14.394584655761719,-1.496645450592041
14.518832206726074,-1.5751513242721558
14.648241996765137,-1.656557559967041
14.740511894226074,-1.714272379875183
14.880146026611328,-1.800600528717041
15.019287109375,-1.885903239250183
15.118539810180664,-1.9464598894119263
15.209516525268555,-2.0016746520996094
15.324228286743164,-2.0707178115844727
15.414569854736328,-2.124711751937866
15.540082931518555,-2.1988818645477295
15.650702476501465,-2.2635693550109863
15.740790367126465,-2.3157958984375
15.879779815673828,-2.395278215408325
15.9689302444458,-2.446303606033325
16.083158493041992,-2.5115575790405273
16.20035171508789,-2.577993154525757
16.273334503173828,-2.6191747188568115
16.344877243041992,-2.6593213081359863
16.435405731201172,-2.7097508907318115
16.522167205810547,-2.7577295303344727
16.587371826171875,-2.7936084270477295
16.681537628173828,-2.845034122467041
16.768295288085938,-2.8920750617980957
16.837343215942383,-2.929262638092041
16.91793441772461,-2.9723095893859863
16.995468139648438,-3.0132763385772705
17.07735252380371,-3.055903196334839
17.13455581665039,-3.085278272628784
17.192495346069336,-3.114565372467041
17.26656723022461,-3.15105938911438
17.32365608215332,-3.178539991378784
17.39826202392578,-3.213188409805298
17.471874237060547,-3.2460107803344727
17.524232864379883,-3.2686474323272705
17.59383201599121,-3.2974462509155273
17.648807525634766,-3.3193016052246094
17.70150375366211,-3.3393895626068115
17.772397994995117,-3.3649072647094727
17.841440200805664,-3.388198137283325
17.891767501831055,-3.404291868209839
17.9584903717041,-3.4241650104522705
18.03400421142578,-3.444692373275757
18.109487533569336,-3.463149309158325
18.16010284423828,-3.4745166301727295
18.22816276550293,-3.4881396293640137
18.300596237182617,-3.5006589889526367
18.352264404296875,-3.5085105895996094
18.425512313842773,-3.517885684967041
18.49989128112793,-3.5255420207977295
18.5672607421875,-3.53069806098938
18.615663528442383,-3.533559560775757
18.679813385009766,-3.536147356033325
